mf_current_assets,mf_nuveen_non_taxable_tot_assets,mf_nuveen_trailing_12m_net_sales,mf_nuveen_12m_gross_sales,club_status,mf_nuveen_prior_year_assets,mf_nuveen_12m_non_tax_total_gs,mf_prior_year_assets,mf_trailing_12m_net_sales,mf_commodities_12m_gs,mf_commodities_12m_net_sales,mf_international_equity_aum,mf_int_equity_12mo_gs,mf_int_equity_12mo_net,mf_municipal_bond_aum,mf_muni_12_mo_gs,mf_muni_12_mo_net,mf_sector_equity_aum,mf_sector_equity_12mo_gs,mf_sector_equity_12mo_net,mf_taxable_bond_aum,mf_taxable_bond_12mo_gs,mf_taxable_bond_12mo_net_sales,mf_us_equity_aum,mf_US_equity_12m_gross_sales,mf_us_equity_12m_net_sales,mf_nuveen_assets_fa_book_rank,mf_diversified_emerging_mkts_aum,mf_diversified_emerg_mkts_12m_gs,mf_europe_stock_aum,mf_europe_stock_12m_gross_sales,mf_europe_stock_12m_net_sales,mf_foreign_large_blend_aum,mf_foreign_large_blend_12m_gs,mf_foreign_large_blend_12m_net,mf_foreign_large_growth_aum,mf_foreign_large_growth_12m_gs,mf_foreign_large_growth_12m_net,mf_foreign_large_value_aum,mf_foreign_large_value_12m_gs,mf_foreign_large_value_12m_net,mf_global_real_estate_aum,mf_global_real_estate_12m_gs,mf_global_real_estate_12m_net,mf_health_aum,mf_health_12m_gross_sales,mf_health_12m_net_sales,mf_high_yield_bond_aum,mf_high_yield_bond_12m_gs,mf_high_yield_bond_12m_net,mf_high_yield_muni_aum,mf_high_yield_muni_12m_gs,mf_high_yield_muni_12m_net,mf_inflation_protected_bond_aum,mf_inflation_protect_bond_12m_gs,mf_infl_protect_bond_12m_net,mf_large_blend_aum,mf_large_blend_12m_gross_sales,mf_large_blend_12m_net_sales,mf_large_growth_aum,mf_large_growth_12m_gross_sales,mf_large_growth_12m_net_sales,mf_large_value_aum,mf_large_value_12m_gross_sales,mf_large_value_12m_net_sales,Most_Recent_12m_GS
26350394.86,0,0,0,Master's,0,0,24869451.58,-257709.2,0,0,15926328.63,0,-161035.2,1272582.32,0,0,48803.51,0,0,1248242.19,0,-6740.46,7580610.07,0,-81389.86,,15253485.72,0,41369.74,0,-14843.63,6192.66,0,0,24593.16,0,0,0,0,0,0,0,0,0,0,0,1176936.52,0,0,1172552.52,0,0,0,0,0,582991.61,0,-18404.76,5386955.2,0,-62599.1,1083395.06,0,-386,0
14279685.16,0,0,0,Non-Club,0,0,13037601.13,373805.47,0,0,870928.8,177905.77,-175501.99,1351730.37,6669.22,-8698.5,356951.72,0,0,2041745.69,445205.1,-638796.89,6199474.68,1991709.89,1301080.65,,193300.85,61925.95,24757.6,0,0,278975.21,57431.35,-39682.29,161121.59,28420.86,-32574.97,26944.95,24927.19,-24029.21,0,0,0,0,0,0,243207.77,135829.39,81045.95,0,0,0,52759.64,7891.08,-49958.54,1078505.29,60225.42,-36504.74,4784580.73,1807486.59,1296558.88,99617.71,41902.63,10273.53,0
314114.67,0,0,0,Non-Club,0,0,410559.91,-45683.05,0,0,0,0,0,0,0,0,623.35,0,0,0,0,-93.14,174465.89,0,-45589.91,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-85.73,0,0,0,0,0,0,29306.86,0,-45589.91,35588.92,0,0,82267.71,0,0,0
5872310.69,1480.61,0,0,Non-Club,1684,0,4073136.47,1474111.64,2149.36,1343.29,914322.02,638327.02,-219014.71,883749.38,91558.87,9933.53,12070.57,1157.72,-8052.62,2479387.14,2561522.6,1148639.32,845527.1,211447.11,-34825.49,41,37147.4,14003.61,0,0,0,33196.13,5316.42,-6798.26,77879.9,16887.24,3455.5,5686.14,4073.42,2060.95,0,0,-780.67,4981.68,0,-4128.07,239086.51,76341.84,70929.22,0,0,0,390.76,164.98,-3860.25,34329.42,5840.62,-16554.79,98802.79,71917.72,57365.88,21457.9,14379.45,6066.73,0
24482807.31,0,-562.87,0,Non-Club,26362.81,0,22585138.43,3296405.58,0,0,5754492.93,2632711.16,261625.63,1474686.25,146336.41,146336.41,492739.05,69165.08,-275965.17,5856907.96,2759309.35,570898.13,7930297.83,1791293.89,162156.25,,3760230.16,2342197.01,27502.33,1188.9,-103726.76,205770.12,18234.89,-44580.71,113338.01,53314.27,37387.14,0,0,0,0,0,0,17767.78,0,-22080.76,497517.13,5958.5,-38224.32,513268.79,0,0,0,0,0,3895520,1239783.33,1105471.85,1152507.31,37046.76,-17419.88,225659.75,48060.89,-1178966.32,0
4645620.85,0,0,0,Non-Club,0,0,1755022.2,3372136.01,0,0,24600.08,0,-51676.71,3028.35,0,-45789.66,0,0,-18850.51,3580583.78,5801824.95,3803319.75,753228.27,135362,-112192.66,,0,0,0,0,0,17506.22,0,0,7093.86,0,0,0,0,0,0,0,0,0,0,0,651.12,0,0,0,0,0,8251.36,0,0,373843.77,129981.5,-48507.79,241744.88,5380.5,-4548.38,23837.64,0,0,0
56370822.89,0,-2173114.88,0,Non-Club,2631606.26,0,60470626.75,-6471484.17,43190.14,43190.14,9271496.78,3013884.24,-1636481.76,4905964.49,0,0,1122313.79,17156.7,-1244998.16,20434819.61,6767680.63,-3517271.45,17961973.04,392030.07,250316.64,,717619.8,24967.66,276500.57,0,-938354.66,3248293.32,15197.45,-1435.14,326140.65,71006.95,36366.24,23313.82,2544.95,-597.34,1496.8,0,0,250949.69,0,-20428,96899.71,81577.2,-1607789.08,2053604.04,0,0,21691.28,344.09,-35324.29,1563194.76,131711.75,104534.21,12653637,151517.56,64705.35,3038526.74,15862.24,2083.1,0
2112515.32,997.93,0,0,Non-Club,6194.28,0,1672779.51,-472624.58,0,0,365744.44,0,0,129166.83,0,-7800.25,2157.17,0,0,83697.43,0,-50564.84,1134053.69,0,-96942.54,21,8415.84,0,0,0,0,1848.61,0,0,146247.52,0,0,2903.12,0,0,687.31,0,0,0,0,0,427.72,0,0,66877.56,0,-7800.25,0,0,0,525508.47,0,0,331411.11,0,-26508.22,98949.54,0,-10566.25,0
10901862.8,0,0,0,Non-Club,2119.74,0,15362914.92,-4318509.71,0,0,1559973.04,8206.51,-222195.76,179499.35,119412.48,47373.59,0,0,-36640.61,5456620.65,6499352.54,-3412103.53,3460244.18,20584.37,-636053.49,27,171913.11,419.35,0,0,0,24202.93,972.44,-842.45,332608.07,803.76,-40517.41,2966.47,0,-11193.14,0,0,0,0,0,-19452.84,7763.84,1038.95,-17005.62,0,0,0,4193.46,291,-29147.66,1488367.3,2934.79,-225565.7,1639131.74,13981.77,-262264.75,291496.69,2493.5,-49367.63,0
4156462.91,0,0,0,Non-Club,12531.99,0,3538022.22,323673.1,0,0,662974.19,227495.45,48580.32,503829.94,0,-86807.26,210720.02,80183.7,80183.7,875876.89,241369.78,75929.09,1398109.57,342746.78,156496.05,28,104820.6,0,0,0,0,95877.66,105000,105000,60437.14,0,-83177.17,10444.77,0,-95579.41,0,0,0,81497.54,0,0,162934.23,0,-45509.7,111938.43,0,-37295.26,6715.28,0,0,607721.28,17495.45,-6674.47,636939.41,271803.33,271803.33,54832.83,53448,-108632.81,0
1306524.56,0,-13263.14,0,Century,10948.25,0,1949120.64,-948621.87,0,-2610.12,117244.77,0,-120123.7,64728.18,0,-9966.14,18043.01,0,-42282.96,39227.14,0,-178823.97,1037550.46,5648.26,-577785.52,25,11248.61,0,0,0,0,5494.87,0,-20809.85,12997.33,0,-4443.86,3484.07,0,-8639.07,0,0,0,11294.26,0,-27259.05,5478.05,0,0,0,0,0,837.52,0,0,276575.98,91.39,-120536.73,193099.61,1625.44,-202114.77,265707.67,0,-173848.68,0
27079102.95,0,-544.48,0,President,0,0,25119832.34,-6110235.88,0,0,587810.45,14171.37,-174224.18,4423018.81,190695.27,-557369.75,112607.09,1342.57,-347190.7,20268819.54,5412487.59,-1189265.97,1162756.69,24631.17,-832117.01,41,83830.34,3781.12,0,0,0,127539.72,9797.11,-32131.43,139621.21,292.78,-6952.04,5742.19,295.45,-7170.57,90.9,0,-2012.19,27564.75,0,-68884.33,139385.16,3096.42,-294460.52,132693.54,28688.28,-102359.86,25582.25,316.66,-4246.15,426189.45,12349.76,-342120.92,298311.93,1030.6,-198376.09,84107.82,4314.2,-76677.39,0
